feat_name,regC,kernel,pca_comp
AAC,20,rbf,12
APAAC,30,rbf,40
CKSAAGP,20,rbf,40
CKSAAP,20,rbf,40
CTDC,20,rbf,19
CTDD,20,rbf,40
CTDT,30,rbf,19
CTriad,20,rbf,40
DDE,20,rbf,40
DPC,30,rbf,40
GAAC,20,rbf,3
GDPC,1,rbf,15
GTPC,20,rbf,40
Geary,20,rbf,40
KSCTriad,20,rbf,40
Moran,20,rbf,40
NMBroto,20,rbf,40
PAAC,30,rbf,25
QSOrder,30,rbf,40
SOCNumber,30,rbf,40
TPC,20,rbf,40
aac_pssm,1,rbf,10
aadp_pssm,1,rbf,55
aatp,20,rbf,40
ab_pssm,30,rbf,40
d_fpssm,1,rbf,10
dp_pssm,1,rbf,40
dpc_pssm,1,rbf,55
edp,20,rbf,10
eedp,20,rbf,40
gaakmer,30,linear,40
gappyKernel,20,rbf,55
k_separated_bigrams_pssm,20,rbf,40
kmer,30,rbf,40
medp,20,rbf,40
mismatchKernel,20,rbf,40
pse_pssm,20,rbf,20
pssm_ac,20,rbf,40
pssm_cc,20,rbf,40
pssm_composition,20,rbf,40
rpm_pssm,20,rbf,40
rpssm,1,rbf,40
s_fpssm,30,rbf,55
smoothed_pssm,1,rbf,40
spectrumKernel,30,linear,40
tpc,30,rbf,40
tri_gram_pssm,30,rbf,40
